,image,Team,team_photo,year,draft_pick,yprr_p,yprr,tprr_p,tprr,name,open_p,open,catch_p,catch,yac_p,yac,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,draft_age,breakoutagep,breakout_age,hs,best_ppg ,adp,years_removed
11,https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/imoqxbyoluisz2tmoral,Toledo,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Toledo_Rockets_logo.svg/1200px-Toledo_Rockets_logo.svg.png,2019,66,0.859,3.01,0.803,0.28,Diontae Johnson,0.873,68,0.296,65,0.803,73,0.19,0.216,5104,0.226,183,0.177,4.53,0.158,33.5,0.323,123,0.329,7.09,0.107,4.45,0.029,4.18,22.8,0.348,20.8,,12.87,29,"2,3"
82,https://www.playerprofiler.com/wp-content/uploads/2014/05/andy-isabella-advanced-stats.png,UMass,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/UMass_Amherst_athletics_logo.svg/1200px-UMass_Amherst_athletics_logo.svg.png,2019,62,0.866,3.02,0.803,0.28,Andy Isabella,0.845,65,0.472,70,0.732,71,0.299,0.069,5086,0.322,188,0.969,4.31,0.516,36.5,0.172,121,0.589,6.95,0.707,4.15,0.369,7.26,22.4,0.652,19.8,4,2.68,20,"1,2"
117,https://www.playerprofiler.com/wp-content/uploads/2019/02/Gary-Jennings.png,West Virginia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/West_Virginia_Mountaineers_logo.svg/1200px-West_Virginia_Mountaineers_logo.svg.png,2019,120,0.528,2.45,0.62,0.26,Gary Jennings,0.43,49,0.859,81,0.246,60,,0.603,6010,,,,,,,0.667,127,,,,,0.728,9.04,,0.406,20.5,,0,45,0
7,https://www.playerprofiler.com/wp-content/uploads/2014/05/calvin-ridley-stats-fantasy-rankings.png,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,2018,26,0.739,2.78,0.803,0.28,Calvin Ridley,0.824,64,0.317,66,0.62,69,0.088,0.483,6004,0.339,189,0.573,4.43,0.032,31,0.011,110,0.712,6.88,0.16,4.41,0.097,5.12,23.3,0.37,20.7,3,14.4,13,"2,3"
23,https://www.playerprofiler.com/wp-content/uploads/2018/01/MG.png,Colorado State,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/1200px-Colorado_State_Rams_logo.svg.png,2018,81,0.923,3.18,1,0.37,Michael Gallup,0.972,77,0.183,61,0.69,70,0.438,0.56,6006,0.609,205,0.271,4.51,0.421,36,0.258,122,0.658,6.95,0.213,4.37,0.165,5.87,22.1,0.181,21.5,4,10.8,19,"2,3"
19,https://www.playerprofiler.com/wp-content/uploads/2021/04/DJ-Chark.png,LSU,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,2018,61,0.817,2.92,0.31,0.23,D.J. Chark Jr.,0.852,66,0.754,78,0.007,45,0.679,0.828,6027,0.548,203,0.854,4.34,0.853,40,0.785,129,,-,,-,0.981,9.94,21.5,0.551,20,4,11.3,29,"2,3"
17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3915416.png&w=350&h=254,Maryland,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Maryland_Terrapins_logo.svg/1200px-Maryland_Terrapins_logo.svg.png,2018,24,0.761,2.83,0.986,0.36,D.J. Moore,0.937,71,0.07,57,0.592,68,0.905,0.414,6000,0.73,210,0.615,4.42,0.8,39.5,0.882,132,0.589,6.95,0.92,4.07,0.883,9.65,21,0.957,18.4,3,11.87,12,"5,6"
52,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3050487.png,Memphis,https://upload.wikimedia.org/wikipedia/en/4/45/Memphis_Tigers_logo.svg,2018,61,0.972,3.47,0.986,0.36,Anthony Miller,1,84,0.275,64,0.775,72,0.015,0.293,5111,0.496,201,,-,,-,,-,,-,,-,0.777,9.27,23.5,0.138,21.9,5,6.61,20,"1,2"
104,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3051857.png,Missouri,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Missouri_Tigers_logo.svg/1200px-Missouri_Tigers_logo.svg.png,2018,133,0.775,2.85,0.62,0.26,J'Mon Moore,0.739,60,0.606,74,0.803,73,0.139,0.802,6025,0.678,207,0.031,4.6,0.684,38,0.118,120,0.986,6.56,0.947,4.04,0.563,8.43,22.9,0.507,20.3,5,0,39,0
54,https://sportshub.cbsistatic.com/i/sports/player/headshot/2146188.png?width=160,Oklahoma State,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/1200px-Oklahoma_State_University_system_logo.svg.png,2018,60,0.986,3.48,0.732,0.27,James Washington,0.986,79,0.887,82,0.092,56,0.489,0.276,5110,0.791,213,0.177,4.54,0.221,34.5,0.118,120,0.288,7.11,0.333,4.32,0.126,5.56,22,0.964,18.4,4,6.32,18,"2,3"
79,https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/thfspx6c8befeosbsj1b,Penn State,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/1200px-Penn_State_Nittany_Lions_logo.svg.png,2018,113,0.204,2.02,0.07,0.19,DaeSean Hamilton,0.38,47,0.239,63,0.092,56,0.139,0.517,6005,0.548,203,,-,0.221,34.5,0.075,118,0.781,6.84,0.733,4.15,0.476,8.09,23.1,0.71,19.5,5,3.13,35,"1,2"
31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128429.png,SMU,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/1200px-SMU_Mustang_logo.svg.png,2018,40,0.331,2.21,0.62,0.26,Courtland Sutton,0.683,58,0.021,52,0.176,58,0.241,0.871,6033,0.843,218,0.156,4.54,0.347,35.5,0.398,124,0.986,6.57,0.84,4.11,0.942,9.81,22.5,0.594,19.9,4,9.9,16,"5,6"
47,https://static.www.nfl.com/image/private/t_headshot_desktop/league/zk2f2ivzdssgoaamf57u,South Florida,https://upload.wikimedia.org/wikipedia/commons/1/13/Official_USF_Bulls_Athletic_Logo.png,2018,174,0.43,2.31,0.521,0.25,Marquez Valdes-Scantling,0.563,55,0.239,63,0.204,59,0.015,0.931,6040,0.643,206,0.813,4.37,0,30.5,0.398,124,,-,,-,0.767,9.26,23.5,0.029,22.9,5,7.22,40,"3,4"
22,https://www.playerprofiler.com/wp-content/uploads/2018/01/Christian-Kirk-1.png,Texas A&M,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/2492px-Texas_A%26M_University_logo.svg.png,2018,47,0.415,2.3,0.803,0.28,Christian Kirk,0.683,58,0.07,57,0.176,58,0.723,0.207,5103,0.496,201,0.438,4.47,0.347,35.5,0.043,115,0.315,7.09,0.133,4.45,0.214,6.24,21.4,0.877,18.8,3,10.88,15,"4,5"
53,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3915823.png,Texas Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/1200px-Texas_Tech_Athletics_logo.svg.png,2018,103,0.88,3.09,0.62,0.26,Keke Coutee,0.796,63,0.754,78,0.873,76,0.818,0.164,5096,0.165,181,0.573,4.43,0.221,34.5,0.032,113,0.671,6.93,0.707,4.15,0.136,5.64,21.2,0.37,20.6,3,6.59,38,"1,2"
115,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3134302.png&w=350&h=254,UCLA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/UCLA_Bruins_primary_logo.svg/1200px-UCLA_Bruins_primary_logo.svg.png,2018,162,0.915,3.15,0.62,0.26,Jordan Lasley,0.894,69,0.62,75,0.838,74,0.679,0.603,6010,0.548,203,,-,,-,,-,,-,,-,0.058,4.47,21.4,0.63,19.8,4,0,43,0
65,https://static.www.nfl.com/image/private/t_headshot_desktop/league/j35nhxhisutf6pz38fzs,Washington,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,2018,44,0.627,2.57,0.951,0.33,Dante Pettis,0.761,61,0.239,63,0.437,65,0.299,0.483,6004,0.261,186,,-,,-,,-,,-,,-,,-,22.3,0.29,20.9,4,5.17,24,"1,2"
file:///C:/Users/Kwabena/Downloads/yughoih.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
